id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price
219129,W13,3,3,No,1500-1999 sqft,N,No,16,9,1087,1821000
757581,W13,1,1,YES,500-999 sqft,Yes,We,23,3,469,613000
404196,W13,2,2,YES,500-999 sqft,Yes,We,12,1,767,838000
821441,W13,2,2,No,500-999 sqft,Yes,S,10,25,827,935000
190492,W10,0,1,No,500-999 sqft,Yes,S,1,12,526,645000
194328,W11,1,1,YES,500-999 sqft,N,S,4,8,610,777000
463115,W13,1,2,YES,500-999 sqft,N,We,5,4,639,778000
544847,W10,2,2,No,2000-2499 sqft,Yes,No,13,11,1353,2424000
932951,W13,1,1,YES,500-999 sqft,Yes,E,19,0,588,664000
314167,W11,3,2,No,500-999 sqft,Yes,We,37,19,492,664000
636647,W10,1,1,No,500-999 sqft,Yes,E,13,25,776,572000
813901,W10,1,1,YES,500-999 sqft,N,No,3,1,752,806000
939782,W10,2,1,YES,500-999 sqft,N,E,1,7,866,909000
417436,W10,2,1,No,1000-1499 sqft,Yes,S,54,1,702,954000
649921,W10,2,2,No,500-999 sqft,N,E,4,16,1133,1132000
527981,W10,2,2,YES,1500-1999 sqft,Yes,No,2,0,1156,1499000
506169,W13,1,1,YES,0-499 sqft,Yes,E,6,4,284,394000
299615,W10,1,1,YES,0-499 sqft,N,No,16,14,591,544000
281843,W10,3,3,No,500-999 sqft,Yes,S,5,5,477,688000
320300,W11,1,1,No,500-999 sqft,N,E,24,6,444,583000
907535,W11,1,1,No,500-999 sqft,N,S,6,16,818,618000
819012,W13,1,1,YES,0-499 sqft,Yes,No,2,13,291,447000
530843,W10,1,1,No,500-999 sqft,N,We,5,7,821,962000
456166,W10,1,1,YES,0-499 sqft,N,S,27,10,511,583000
791788,W13,1,1,No,0-499 sqft,N,No,0,2,341,480000
307066,W13,2,2,No,500-999 sqft,Yes,E,5,9,615,929000
518361,W10,1,1,YES,500-999 sqft,Yes,E,28,15,551,584000
621228,W10,1,1,YES,0-499 sqft,Yes,No,33,4,402,515000
354135,W11,3,2,No,1000-1499 sqft,N,E,30,1,937,1288000
378054,W13,2,2,YES,1000-1499 sqft,N,No,3,5,811,1063000
707003,W10,1,1,No,0-499 sqft,Yes,No,2,13,391,608000
616282,W10,2,2,No,1000-1499 sqft,Yes,S,13,14,748,955000
893102,W13,2,2,YES,500-999 sqft,N,S,6,1,597,668000
568870,W10,3,3,No,500-999 sqft,N,S,45,12,864,1062000
975983,W11,1,1,No,500-999 sqft,N,S,26,12,462,732000
722273,W11,2,2,YES,500-999 sqft,N,We,5,9,484,740000
845257,W11,3,2,No,2000-2499 sqft,Yes,S,43,7,2324,2091000
581277,W10,1,1,No,500-999 sqft,Yes,E,10,4,425,744000
